 YR   MON  NINO1+2  ANOM   NINO3    ANOM   NINO4    ANOM   NINO3.4  ANOM
1950   1   23.30   -1.41   23.84   -1.96   27.18   -1.17   24.91   -1.80
1950   2   24.33   -1.85   25.06   -1.49   26.83   -1.37   25.26   -1.62
1950   3   25.24   -1.33   26.53   -0.76   26.91   -1.41   26.08   -1.28
1950   4   23.88   -1.80   26.64   -0.97   27.42   -1.16   26.38   -1.46
1950   5   22.91   -1.56   25.87   -1.42   27.95   -0.94   26.25   -1.71
1950   6   21.60   -1.55   25.63   -1.00   28.27   -0.62   26.59   -1.14
1950   7   20.58   -1.47   25.01   -0.80   27.84   -1.00   26.40   -0.91
1950   8   20.29   -0.82   24.52   -0.71   27.54   -1.23   25.90   -1.06
1950   9   19.67   -1.19   24.17   -0.90   27.44   -1.34   25.73   -1.14
1950  10   20.14   -1.03   24.41   -0.71   27.43   -1.34   25.86   -0.97
1950  11   20.19   -1.66   24.21   -0.98   27.42   -1.28   25.71   -1.06
1950  12   21.82   -1.26   24.36   -1.00   27.35   -1.22   25.43   -1.30
1951   1   24.19   -0.53   24.96   -0.84   27.39   -0.96   25.40   -1.31
1951   2   25.04   -1.13   25.81   -0.73   27.17   -1.03   25.78   -1.10
1951   3   25.51   -1.06   27.04   -0.24   27.85   -0.46   27.02   -0.34
1951   4   25.19   -0.48   27.43   -0.18   28.43   -0.15   27.63   -0.22
1951   5   24.55    0.07   27.15   -0.14   29.09    0.20   27.99    0.03
1951   6   24.57    1.42   26.62   -0.01   29.04    0.14   27.51   -0.22
1951   7   23.79    1.75   26.56    0.75   28.76   -0.09   27.58    0.27
1951   8   22.25    1.14   25.86    0.63   28.24   -0.52   27.07    0.11
1951   9   21.45    0.59   25.73    0.66   28.44   -0.34   27.28    0.41
1951  10   21.77    0.60   25.73    0.62   28.50   -0.27   27.12    0.29
1951  11   22.31    0.47   25.99    0.80   28.68   -0.03   27.13    0.35
1951  12   22.91   -0.17   25.84    0.48   28.52   -0.05   26.90    0.17
1952   1   24.40   -0.32   25.96    0.16   28.37    0.03   26.76    0.05
1952   2   25.95   -0.22   26.49   -0.05   28.12   -0.09   26.86   -0.01
1952   3   26.26   -0.30   27.29   -0.00   28.15   -0.17   27.36   -0.00
1952   4   24.91   -0.76   27.59   -0.02   28.58   -0.01   28.02    0.17
1952   5   23.99   -0.48   27.15   -0.14   28.76   -0.13   28.16    0.20
1952   6   22.55   -0.60   26.11   -0.52   28.55   -0.34   27.48   -0.25
1952   7   21.36   -0.69   25.23   -0.58   28.25   -0.59   26.93   -0.38
1952   8   20.30   -0.81   24.63   -0.60   27.97   -0.80   26.48   -0.48
1952   9   19.75   -1.11   24.46   -0.62   28.33   -0.45   26.53   -0.34
