Volcano Number,Volcano Name,Eruption Number,Start Year,Start Month,Latitude,Longitude
282090,Kirishimayama,22257,2018,3,31.934,130.862
352090,Sangay,22259,2018,2,-2.005,-78.341
267020,Karangetang,22256,2018,2,2.781,125.407
283120,Kusatsu-Shiranesan,22258,2018,1,36.618,138.528
343100,San Miguel,22251,2018,1,13.434,-88.269
273030,Mayon,22250,2018,1,13.257,123.685
251002,Kadovar,22246,2018,1,-3.608,144.588
272020,Kanlaon,22249,2017,12,10.412,123.132
264020,Agung,22241,2017,11,-8.343,115.508
261230,Dempo,22248,2017,11,-4.016,103.121
256010,Tinakula,22239,2017,10,-10.386,165.804
282090,Kirishimayama,22242,2017,10,31.934,130.862
257030,Ambae,22240,2017,9,-15.4,167.83
353010,Fernandina,22245,2017,9,-0.37,-91.55
344020,San Cristobal,22252,2017,8,12.702,-87.004
352090,Sangay,22231,2017,7,-2.005,-78.341
264050,Sangeang Api,22228,2017,7,-8.2,119.07
233020,"Fournaise, Piton de la",22224,2017,7,-21.244,55.708
252120,Ulawun,22225,2017,6,-5.05,151.33
273010,Bulusan,22229,2017,6,12.769,124.056
261140,Marapi,22226,2017,6,-0.38,100.474
300130,Karymsky,22230,2017,6,54.049,159.443
357090,Copahue,22232,2017,6,-37.856,-71.183
345020,Rincon de la Vieja,22208,2017,5,10.83,-85.324
263200,Dieng Volcanic Complex,22227,2017,4,-7.2,109.879
284096,Nishinoshima,22207,2017,4,27.247,140.874
345040,Poas,22209,2017,4,10.2,-84.233
360160,Kick 'em Jenny,22260,2017,3,12.3,-61.64
282080,Aira,22203,2017,3,31.593,130.657
300010,Kambalny,22198,2017,3,51.306,156.875
262000,Krakatau,22188,2017,2,-6.102,105.423
233020,"Fournaise, Piton de la",22184,2017,1,-21.244,55.708
243030,Unnamed,22185,2017,1,-20.852,-175.55
260010,Barren Island,22187,2017,1,12.278,93.858
343100,San Miguel,22192,2017,1,13.434,-88.269
311300,Bogoslof,22182,2016,12,53.93,-168.03
290260,Chirinkotan,22175,2016,11,48.98,153.48
223020,Nyamuragira,22202,2016,11,-1.408,29.2
300120,Zhupanovsky,22177,2016,11,53.589,159.15
261170,Kerinci,22172,2016,11,-1.697,101.264
354006,Sabancaya,22158,2016,11,-15.787,-71.857
290380,Ebeko,22176,2016,10,50.686,156.014
252120,Ulawun,22171,2016,10,-5.05,151.33
282110,Asosan,22174,2016,10,32.884,131.104
300130,Karymsky,22178,2016,10,54.049,159.443
241040,White Island,22147,2016,9,-37.52,177.18
354020,Ubinas,22181,2016,9,-16.355,-70.903
233020,"Fournaise, Piton de la",22145,2016,9,-21.244,55.708
268060,Gamalama,22150,2016,8,0.8,127.33
264030,Rinjani,22149,2016,8,-8.42,116.47
290360,Chikurachki,22153,2016,7,50.324,155.461
343100,San Miguel,22154,2016,6,13.434,-88.269
273010,Bulusan,22151,2016,6,12.769,124.056
345040,Poas,22156,2016,6,10.2,-84.233
233020,"Fournaise, Piton de la",22144,2016,5,-21.244,55.708
241040,White Island,22121,2016,4,-37.52,177.18
390080,Bristol Island,22133,2016,4,-59.017,-26.533
344020,San Cristobal,22130,2016,4,12.702,-87.004
311240,Cleveland,22128,2016,4,52.825,-169.944
252010,Langila,22123,2016,4,-5.525,148.42
261170,Kerinci,22125,2016,3,-1.697,101.264
390130,Zavodovski,22159,2016,3,-56.3,-27.57
290360,Chikurachki,22127,2016,3,50.324,155.461
312030,Pavlof,22129,2016,3,55.417,-161.894
352090,Sangay,22237,2016,3,-2.005,-78.341
273010,Bulusan,22114,2016,2,12.769,124.056
343100,San Miguel,22117,2016,1,13.434,-88.269
357070,"Chillan, Nevados de",22119,2016,1,-36.868,-71.378
266030,Soputan,22105,2016,1,1.112,124.737
344090,Momotombo,22107,2015,12,12.423,-86.539
272020,Kanlaon,22106,2015,11,10.412,123.132
261140,Marapi,22111,2015,11,-0.38,100.474
263310,Tengger Caldera,22103,2015,11,-7.942,112.95
355100,Lascar,22110,2015,10,-23.37,-67.73
264030,Rinjani,22104,2015,10,-8.42,116.47
344100,Masaya,22108,2015,10,11.984,-86.161
290390,Alaid,21096,2015,9,50.861,155.565
344040,Telica,21097,2015,9,12.606,-86.84
357090,Copahue,21098,2015,9,-37.856,-71.183
266100,Lokon-Empung,21093,2015,8,1.358,124.792
300260,Klyuchevskoy,21095,2015,8,56.056,160.642
390090,Saunders,21099,2015,8,-57.8,-26.483
352050,Cotopaxi,21088,2015,8,-0.677,-78.436
343100,San Miguel,22233,2015,8,13.434,-88.269
360160,Kick 'em Jenny,21090,2015,7,12.3,-61.64
268060,Gamalama,21087,2015,7,0.8,127.33
264270,Sirung,21086,2015,7,-8.508,124.13
283020,Hakoneyama,21080,2015,6,35.233,139.021
354006,Sabancaya,21089,2015,6,-15.787,-71.857
283110,Asamayama,21081,2015,6,36.406,138.523
345020,Rincon de la Vieja,22132,2015,6,10.83,-85.324
342110,Pacaya,22157,2015,6,14.382,-90.601
344020,San Cristobal,21083,2015,6,12.702,-87.004
282050,Kuchinoerabujima,21073,2015,5,30.443,130.217
353020,Wolf,21075,2015,5,0.02,-91.35
266100,Lokon-Empung,21071,2015,5,1.358,124.792
344040,Telica,21074,2015,5,12.606,-86.84
273010,Bulusan,21072,2015,5,12.769,124.056
331021,Axial Seamount,21092,2015,4,45.95,-130
358020,Calbuco,21076,2015,4,-41.33,-72.618
345070,Turrialba,20998,2015,3,10.025,-83.767
290360,Chikurachki,20990,2015,2,50.324,155.461
233020,"Fournaise, Piton de la",20982,2015,2,-21.244,55.708
263340,Raung,21070,2015,2,-8.119,114.056
343100,San Miguel,20994,2015,1,13.434,-88.269
352090,Sangay,22236,2015,1,-2.005,-78.341
266030,Soputan,20988,2015,1,1.112,124.737
300260,Klyuchevskoy,20992,2015,1,56.056,160.642
243040,Hunga Tonga-Hunga Ha'apai,20983,2014,12,-20.536,-175.382
268060,Gamalama,20989,2014,12,0.8,127.33
357120,Villarrica,20996,2014,12,-39.42,-71.93
384010,Fogo,20977,2014,11,14.95,-24.35
290260,Chirinkotan,22223,2014,11,48.98,153.48
351020,"Ruiz, Nevado del",20995,2014,11,4.892,-75.324
312030,Pavlof,20975,2014,11,55.417,-161.894
345070,Turrialba,20974,2014,10,10.025,-83.767
283040,Ontakesan,20964,2014,9,35.893,137.48
345020,Rincon de la Vieja,20961,2014,9,10.83,-85.324
282110,Asosan,20960,2014,8,32.884,131.104
373030,Bardarbunga,20955,2014,8,64.633,-17.516
342110,Pacaya,22222,2014,8,14.382,-90.601
273030,Mayon,20959,2014,8,13.257,123.685
